Step 1: params = [0.0149334, 0.0149348, 0.0102142, 0.1000013, 0.005897, 0.0999631, 0.0656568, -0.0337367, -0.0337377, 0.0273626]
Step 1: params = [0.0170254, 0.0170249, 0.009769, 0.1051266, 0.0064072, 0.1050835, 0.0681139, -0.0363863, -0.0363856, 0.0267059]
Step 1: params = [0.0185526, 0.0185539, 0.0094499, 0.1086568, 0.0067668, 0.1086104, 0.0697827, -0.0382361, -0.0382376, 0.026185]
Step 1: params = [0.0197162, 0.0197152, 0.0092439, 0.1113043, 0.0070438, 0.1112555, 0.0710566, -0.0396062, -0.0396056, 0.0258234]
Step 1: params = [0.0206277, 0.020627, 0.0090908, 0.1133319, 0.007259, 0.1132812, 0.0720308, -0.0406569, -0.0406563, 0.0255378]
Step 1: params = [0.0213576, 0.0213579, 0.0089878, 0.1149595, 0.0074351, 0.1149072, 0.0728268, -0.0414857, -0.0414863, 0.0253342]
Step 1: params = [0.024689, 0.0246866, 0.0087397, 0.1224923, 0.0082931, 0.1224328, 0.076696, -0.0451476, -0.0451454, 0.0247237]
Step 1: params = [0.0031686, 0.0031686, 0.0031686, 0.0873347, 0.0524466, 0.0873098, 0.0549331, 0.0036741, 0.0036741, 0.0036741]
Step 1: params = [0.0015599, 0.0021257, 0.0018522, 0.0469155, 0.0249674, 0.0468906, 0.025939, -0.0018441, 0.0031516, -0.0016528]
Step 1: params = [0.0001121, 0.0022948, 0.0001159, 0.0245916, 0.0123846, 0.0245907, 0.0181529, 9.84e-05, -0.0021837, 0.0001153]
Step 1: params = [0.0017477, 0.0013519, 0.0018736, 0.044688, 0.0191152, 0.0446761, 0.024461, 0.002943, -0.0018116, -0.0012484]
Step 1: params = [0.0031027, 0.0004194, 0.0017591, 0.0426573, 0.0216433, 0.0426586, 0.0334908, 0.0039913, -0.0002196, 0.000681]
Step 1: params = [0.0030671, 0.0030671, 0.0030671, 0.0711767, 0.0446268, 0.0711609, 0.0478902, 0.0035357, 0.0035357, 0.0035357]
Step 1: params = [0.0011912, 0.0014818, 0.0018831, 0.0373749, 0.0149929, 0.0373616, 0.0194576, -0.0014061, 0.0022097, -0.0011531]
Step 1: params = [0.0001002, 0.0022768, 9.75e-05, 0.0220797, 0.0132411, 0.0220791, 0.0160032, 1.36e-05, -0.0019024, 0.0001809]
Step 1: params = [4.59e-05, 0.0023504, 4.66e-05, 0.0212283, 0.0123171, 0.0212279, 0.0143756, 0.0002181, -0.0026675, -0.0001754]
Step 1: params = [1.4e-06, 0.0022721, 1.4e-06, 0.0155857, 0.0132191, 0.0155857, 0.0135611, -5.04e-05, 0.0002611, 5.03e-05]
Step 1: params = [0.0022808, 0.0012911, 0.001835, 0.0394685, 0.0230631, 0.0394724, 0.0235659, -0.0009167, 0.0006366, -0.0024205]
Step 1: params = [0.0002255, 0.0021711, 0.0002117, 0.0240044, 0.0128799, 0.0240044, 0.0152562, 0.0007889, 6.94e-05, -0.0006815]
Step 1: params = [0.000217, 0.0021764, 0.0002042, 0.0240764, 0.0128703, 0.0240773, 0.014691, -0.000203, -0.0011157, -0.000204]
Step 1: params = [0.0007654, 0.0020511, 0.0008654, 0.0332905, 0.012176, 0.0332828, 0.0203281, 0.0006764, -0.0024374, -0.0004469]
Step 1: params = [0.0008666, 0.0020516, 0.0007658, 0.0332957, 0.0177265, 0.0332879, 0.0202864, -0.0004471, -0.0024527, 0.0006592]
Step 1: params = [0.0017531, 0.0021722, 0.0016253, 0.0381349, 0.0320587, 0.0381277, 0.022141, -0.0003506, 0.0005928, -0.0017858]
Step 1: params = [0.0019929, 0.0007179, 0.000827, 0.0326532, 0.0128535, 0.0326495, 0.0172983, -0.0004953, -0.0011975, 0.0016355]
Step 1: params = [0.0030671, 0.0030671, 0.0030671, 0.0711767, 0.0446268, 0.0711609, 0.0478902, 0.0035357, 0.0035357, 0.0035357]
Step 1: params = [0.0002815, 0.0003035, 0.0021421, 0.025594, 0.0111672, 0.0255929, 0.0140691, -0.0007838, 0.0009318, -2.5e-06]
Step 1: params = [0.0001787, 0.0021854, 0.0001891, 0.0232016, 0.0096516, 0.0232016, 0.0146439, -0.0006262, 0.0001023, 0.000715]
Step 1: params = [0.0022135, 8.65e-05, 8.86e-05, 0.0207416, 0.012134, 0.0207416, 0.013351, -0.0008781, -9.46e-05, -0.000182]
Step 1: params = [2.1e-06, 0.0022835, 6.1e-06, 0.0168838, 0.0105557, 0.0168841, 0.0104966, -2.28e-05, -0.0013245, -4.15e-05]
Step 1: params = [1.15e-05, 0.0022658, 1.16e-05, 0.0168388, 0.0106284, 0.0168388, 0.0117885, -0.0001517, 0.0002529, 0.0001549]
Step 1: params = [4.08e-05, 0.0022505, 4.17e-05, 0.0186746, 0.009496, 0.0186747, 0.0117984, -0.0002928, 0.0002298, 0.00031]
Step 1: params = [0.0022537, 3.54e-05, 3.54e-05, 0.0183891, 0.0110854, 0.018389, 0.012278, 0.0002352, 0.0002822, -0.0002722]
Step 1: params = [0.0030671, 0.0030671, 0.0030671, 0.0711767, 0.0446268, 0.0711609, 0.0478902, 0.0035357, 0.0035357, 0.0035357]
Step 1: params = [0.0018711, 0.0012566, 0.0015805, 0.037859, 0.0171942, 0.0378501, 0.0197314, -0.0012037, -0.0014432, 0.002317]
Step 1: params = [9.56e-05, 0.0022824, 5.52e-05, 0.0211781, 0.0157133, 0.0211784, 0.0192567, 4.91e-05, -0.0017156, 0.000174]
